customer_id,age,age_group,gender,location,subscription_status,item_purchased,category,size,color,season,purchase_amount,discount_applied,previous_purchases,frequency_of_purchases,purchase_frequency_days,payment_method,shipping_type,review_rating
41,69,Senior,Male,Louisiana,Yes,Handbag,Accessories,L,Beige,Winter,76,Yes,31,Quarterly,90,Debit Card,Next Day Air,4.6
42,67,Senior,Male,Alaska,Yes,Scarf,Accessories,M,Orange,Spring,39,Yes,40,Annually,365,Venmo,Standard,4.5
43,20,Young Adult,Male,Tennessee,Yes,Coat,Outerwear,M,Beige,Spring,100,Yes,15,Annually,365,PayPal,Free Shipping,4.1
44,25,Young Adult,Male,Ohio,Yes,Scarf,Accessories,L,Lavender,Fall,69,Yes,19,Fortnightly,14,PayPal,Store Pickup,3.7
45,39,Adult,Male,Kentucky,Yes,Hat,Accessories,S,Silver,Summer,53,Yes,45,Weekly,7,PayPal,Free Shipping,4.6
46,50,Middle-aged,Male,Tennessee,Yes,Socks,Clothing,XL,Indigo,Fall,21,Yes,25,Annually,365,PayPal,2-Day Shipping,2.9
47,57,Middle-aged,Male,California,Yes,Shirt,Clothing,L,White,Summer,43,Yes,45,Quarterly,90,Cash,Store Pickup,2.9
48,55,Middle-aged,Male,Montana,Yes,Jewelry,Accessories,M,Charcoal,Winter,54,Yes,36,Weekly,7,Cash,Free Shipping,4.5
49,42,Adult,Male,Nevada,Yes,Shirt,Clothing,M,Orange,Summer,55,Yes,38,Monthly,30,Cash,Store Pickup,2.7
50,68,Senior,Male,New Jersey,Yes,Hoodie,Clothing,S,Indigo,Spring,30,Yes,34,Bi-Weekly,14,Debit Card,Next Day Air,4.6
51,49,Middle-aged,Male,Maryland,Yes,Blouse,Clothing,M,Red,Spring,28,Yes,39,Bi-Weekly,14,Debit Card,Store Pickup,3.7
52,59,Senior,Male,Vermont,Yes,Skirt,Clothing,XL,Gray,Winter,59,Yes,7,Quarterly,90,Credit Card,2-Day Shipping,4.7
53,42,Adult,Male,Alaska,Yes,T-shirt,Clothing,M,Green,Summer,20,Yes,26,Weekly,7,Credit Card,Free Shipping,2.6
54,29,Young Adult,Male,Mississippi,Yes,Skirt,Clothing,S,Peach,Winter,24,Yes,35,Weekly,7,Credit Card,Next Day Air,3.9
55,47,Middle-aged,Male,New Mexico,Yes,Coat,Outerwear,M,Brown,Summer,94,Yes,35,Bi-Weekly,14,Debit Card,Next Day Air,4.2
56,40,Adult,Male,South Carolina,Yes,Jacket,Outerwear,M,Lavender,Winter,28,Yes,49,Annually,365,Credit Card,2-Day Shipping,3.0
57,41,Adult,Male,Mississippi,Yes,Backpack,Accessories,XL,Brown,Summer,73,Yes,46,Weekly,7,Credit Card,Store Pickup,4.7
58,21,Young Adult,Male,West Virginia,Yes,Coat,Outerwear,M,White,Summer,64,Yes,17,Fortnightly,14,Debit Card,Store Pickup,4.4
59,69,Senior,Male,Missouri,Yes,Hoodie,Clothing,M,Charcoal,Summer,54,Yes,29,Monthly,30,Venmo,Free Shipping,4.2
60,63,Senior,Male,Louisiana,Yes,Belt,Accessories,L,Yellow,Spring,79,Yes,4,Weekly,7,Debit Card,Standard,4.6
61,50,Middle-aged,Male,Idaho,Yes,Sweater,Clothing,L,Brown,Summer,37,Yes,17,Weekly,7,Cash,Express,4.0
62,55,Middle-aged,Male,Texas,Yes,Scarf,Accessories,M,Orange,Winter,68,Yes,21,Every 3 Months,90,Credit Card,Store Pickup,4.7
63,30,Young Adult,Male,Mississippi,Yes,Sneakers,Footwear,S,Magenta,Spring,21,Yes,31,Fortnightly,14,Credit Card,Free Shipping,3.8
64,33,Adult,Male,Arizona,Yes,Sunglasses,Accessories,L,Lavender,Winter,79,Yes,43,Weekly,7,Credit Card,2-Day Shipping,2.7
65,65,Senior,Male,Alabama,Yes,Boots,Footwear,S,Green,Fall,83,Yes,18,Fortnightly,14,Debit Card,Standard,4.8
66,65,Senior,Male,New Jersey,Yes,Backpack,Accessories,M,Purple,Spring,36,Yes,44,Every 3 Months,90,Venmo,2-Day Shipping,4.8
67,31,Young Adult,Male,Pennsylvania,Yes,Blouse,Clothing,S,Magenta,Winter,94,Yes,3,Every 3 Months,90,Venmo,2-Day Shipping,4.7
68,45,Middle-aged,Male,Connecticut,Yes,Coat,Outerwear,L,Gray,Winter,33,Yes,49,Monthly,30,Debit Card,Store Pickup,4.4
69,57,Middle-aged,Male,Utah,Yes,Handbag,Accessories,L,Silver,Summer,46,Yes,21,Every 3 Months,90,Cash,Next Day Air,3.9
70,48,Middle-aged,Male,Tennessee,Yes,Belt,Accessories,S,Cyan,Summer,70,Yes,5,Weekly,7,Cash,Express,4.4
71,22,Young Adult,Male,Alabama,Yes,Belt,Accessories,M,Magenta,Fall,29,Yes,32,Every 3 Months,90,Debit Card,Express,4.2
72,36,Adult,Male,Virginia,Yes,Dress,Clothing,L,Gold,Summer,48,Yes,34,Annually,365,Bank Transfer,Express,2.9
73,18,Young Adult,Male,Georgia,Yes,Dress,Clothing,M,Olive,Winter,26,Yes,21,Every 3 Months,90,Bank Transfer,Store Pickup,2.9
74,48,Middle-aged,Male,Hawaii,Yes,Pants,Clothing,M,Teal,Spring,85,Yes,43,Bi-Weekly,14,Bank Transfer,Free Shipping,2.7
75,49,Middle-aged,Male,Indiana,Yes,Gloves,Accessories,L,Violet,Spring,58,Yes,3,Monthly,30,Cash,Express,4.5
76,64,Senior,Male,Utah,Yes,Scarf,Accessories,M,Blue,Summer,85,Yes,21,Annually,365,Credit Card,Free Shipping,2.7
77,50,Middle-aged,Male,Delaware,Yes,Hat,Accessories,S,Teal,Summer,43,Yes,32,Monthly,30,Venmo,Free Shipping,4.2
78,22,Young Adult,Male,Delaware,Yes,Dress,Clothing,L,Gold,Summer,53,Yes,36,Fortnightly,14,Debit Card,Next Day Air,3.3
79,50,Middle-aged,Male,Nebraska,Yes,Skirt,Clothing,M,Maroon,Spring,91,Yes,50,Fortnightly,14,Venmo,Free Shipping,4.7
80,38,Adult,Male,Iowa,Yes,Jacket,Outerwear,M,Olive,Winter,96,Yes,43,Every 3 Months,90,Bank Transfer,2-Day Shipping,2.6
81,19,Young Adult,Male,New York,Yes,Sandals,Footwear,XL,Blue,Summer,72,Yes,24,Every 3 Months,90,Credit Card,Store Pickup,3.8
82,67,Senior,Male,Virginia,Yes,Shoes,Footwear,L,Maroon,Summer,96,Yes,36,Every 3 Months,90,Credit Card,Express,2.6
83,19,Young Adult,Male,Georgia,Yes,Pants,Clothing,S,Olive,Spring,28,Yes,21,Every 3 Months,90,Credit Card,2-Day Shipping,4.0
84,36,Adult,Male,Texas,Yes,Dress,Clothing,M,Turquoise,Summer,40,Yes,34,Weekly,7,Bank Transfer,Standard,4.1
85,52,Middle-aged,Male,Arizona,Yes,Coat,Outerwear,S,Peach,Spring,32,Yes,42,Every 3 Months,90,Bank Transfer,Standard,4.4
86,53,Middle-aged,Male,New Mexico,Yes,Sunglasses,Accessories,M,Charcoal,Winter,95,Yes,2,Bi-Weekly,14,Debit Card,Next Day Air,4.5
87,24,Young Adult,Male,Nevada,Yes,Hoodie,Clothing,L,Pink,Spring,41,Yes,47,Bi-Weekly,14,Cash,2-Day Shipping,3.7
88,52,Middle-aged,Male,Ohio,Yes,Shoes,Footwear,M,Green,Fall,53,Yes,44,Fortnightly,14,Debit Card,2-Day Shipping,3.7
89,33,Adult,Male,Wyoming,Yes,T-shirt,Clothing,M,Orange,Fall,47,Yes,35,Monthly,30,Credit Card,Free Shipping,3.5
90,47,Middle-aged,Male,California,Yes,Jacket,Outerwear,XL,Pink,Fall,83,Yes,15,Quarterly,90,Cash,Next Day Air,3.6
91,25,Young Adult,Male,South Carolina,Yes,Hat,Accessories,L,Violet,Summer,48,Yes,29,Monthly,30,Credit Card,Express,2.9
92,44,Adult,Male,South Carolina,Yes,Scarf,Accessories,S,Green,Winter,99,Yes,18,Every 3 Months,90,Credit Card,Standard,4.6
93,61,Senior,Male,Texas,Yes,Jacket,Outerwear,M,Olive,Winter,87,Yes,13,Every 3 Months,90,Venmo,2-Day Shipping,4.4
94,37,Adult,Male,Florida,Yes,Sweater,Clothing,M,Purple,Fall,62,Yes,46,Weekly,7,Credit Card,Standard,4.5
95,58,Senior,Male,Nevada,Yes,Skirt,Clothing,S,Silver,Spring,76,Yes,28,Weekly,7,Credit Card,Free Shipping,4.6
96,37,Adult,Male,Missouri,Yes,Sneakers,Footwear,L,Pink,Fall,100,Yes,48,Monthly,30,PayPal,Free Shipping,3.8
97,32,Adult,Male,Delaware,Yes,Gloves,Accessories,S,Gold,Spring,73,Yes,43,Every 3 Months,90,Venmo,Express,3.8
98,21,Young Adult,Male,Virginia,Yes,Shoes,Footwear,M,Teal,Winter,92,Yes,37,Annually,365,Cash,Store Pickup,4.8
99,20,Young Adult,Male,New York,Yes,Jeans,Clothing,XL,Teal,Spring,67,Yes,20,Annually,365,Bank Transfer,Next Day Air,2.6
100,26,Young Adult,Male,Missouri,Yes,Hoodie,Clothing,XL,Indigo,Summer,40,Yes,33,Quarterly,90,Debit Card,Express,3.7
101,62,Senior,Male,South Dakota,Yes,Sunglasses,Accessories,M,Maroon,Fall,98,Yes,31,Fortnightly,14,Cash,Express,2.7
102,27,Young Adult,Male,North Dakota,Yes,Coat,Outerwear,XL,White,Spring,85,Yes,50,Bi-Weekly,14,Credit Card,Express,4.6
103,51,Middle-aged,Male,Oklahoma,Yes,Socks,Clothing,L,Violet,Winter,67,Yes,35,Quarterly,90,Credit Card,Next Day Air,4.8
104,54,Middle-aged,Male,West Virginia,Yes,Boots,Footwear,L,Red,Winter,89,Yes,22,Bi-Weekly,14,Venmo,Next Day Air,4.0
105,55,Middle-aged,Male,New Hampshire,Yes,Sunglasses,Accessories,L,Pink,Spring,24,Yes,1,Monthly,30,PayPal,2-Day Shipping,4.4
106,69,Senior,Male,New York,Yes,Backpack,Accessories,M,Charcoal,Fall,96,Yes,4,Annually,365,Bank Transfer,Next Day Air,3.6
107,64,Senior,Male,Minnesota,Yes,Jacket,Outerwear,L,White,Summer,35,Yes,31,Monthly,30,Credit Card,Standard,3.7
108,28,Young Adult,Male,Maryland,Yes,Sneakers,Footwear,L,Olive,Winter,67,Yes,46,Fortnightly,14,PayPal,Next Day Air,3.1
109,70,Senior,Male,Montana,Yes,Socks,Clothing,L,Purple,Spring,79,Yes,32,Bi-Weekly,14,Bank Transfer,Next Day Air,3.4
110,58,Senior,Male,Alabama,Yes,T-shirt,Clothing,M,Violet,Spring,85,Yes,43,Fortnightly,14,Bank Transfer,Next Day Air,2.6
111,56,Middle-aged,Male,New York,Yes,Backpack,Accessories,M,Black,Summer,26,Yes,26,Fortnightly,14,Venmo,Standard,4.0
112,26,Young Adult,Male,Massachusetts,Yes,Belt,Accessories,L,Purple,Summer,75,Yes,9,Annually,365,Credit Card,Free Shipping,5.0
113,37,Adult,Male,Florida,Yes,Gloves,Accessories,M,Red,Spring,65,Yes,28,Bi-Weekly,14,PayPal,Free Shipping,4.3
114,44,Adult,Male,New Jersey,Yes,Hat,Accessories,L,Maroon,Winter,54,Yes,20,Quarterly,90,PayPal,Next Day Air,3.1
115,70,Senior,Male,Massachusetts,Yes,Coat,Outerwear,S,Blue,Summer,95,Yes,9,Weekly,7,Cash,Store Pickup,3.7
116,53,Middle-aged,Male,Wyoming,Yes,Skirt,Clothing,M,Gray,Spring,94,Yes,48,Every 3 Months,90,Debit Card,Standard,3.8
117,55,Middle-aged,Male,Virginia,Yes,Shoes,Footwear,S,Blue,Spring,86,Yes,12,Annually,365,Venmo,Free Shipping,3.4
118,50,Middle-aged,Male,South Dakota,Yes,Sandals,Footwear,L,Yellow,Summer,32,Yes,29,Fortnightly,14,Cash,Express,4.6
119,50,Middle-aged,Male,Kentucky,Yes,Sweater,Clothing,L,Orange,Fall,45,Yes,27,Bi-Weekly,14,Cash,2-Day Shipping,4.8
120,38,Adult,Male,Wyoming,Yes,Coat,Outerwear,M,Orange,Fall,76,Yes,44,Annually,365,Cash,Express,4.3
121,64,Senior,Male,West Virginia,Yes,Hat,Accessories,L,Red,Summer,84,Yes,32,Annually,365,Bank Transfer,Express,4.0
122,19,Young Adult,Male,Virginia,Yes,Shorts,Clothing,M,Olive,Winter,72,Yes,11,Fortnightly,14,Cash,Standard,4.2
123,40,Adult,Male,Washington,Yes,Backpack,Accessories,L,Brown,Spring,40,Yes,44,Fortnightly,14,Cash,2-Day Shipping,4.8
124,57,Middle-aged,Male,Louisiana,Yes,Sweater,Clothing,L,Brown,Fall,89,Yes,46,Weekly,7,Cash,Free Shipping,3.1
125,44,Adult,Male,Nevada,Yes,Sweater,Clothing,M,Gray,Spring,86,Yes,50,Annually,365,PayPal,Next Day Air,3.1
126,49,Middle-aged,Male,California,Yes,Shorts,Clothing,M,Indigo,Winter,54,Yes,45,Every 3 Months,90,Venmo,Next Day Air,3.6
127,43,Adult,Male,Mississippi,Yes,Shorts,Clothing,L,Pink,Spring,36,Yes,48,Every 3 Months,90,Cash,Store Pickup,3.9
128,24,Young Adult,Male,Mississippi,Yes,Sweater,Clothing,M,Gray,Winter,89,Yes,26,Weekly,7,Credit Card,Next Day Air,4.8
129,20,Young Adult,Male,California,Yes,Scarf,Accessories,M,Gold,Spring,32,Yes,21,Fortnightly,14,Credit Card,Standard,4.7
130,24,Young Adult,Male,Pennsylvania,Yes,Dress,Clothing,XL,Olive,Summer,67,Yes,49,Bi-Weekly,14,PayPal,2-Day Shipping,4.2
131,44,Adult,Male,Kentucky,Yes,Scarf,Accessories,L,Violet,Fall,39,Yes,13,Fortnightly,14,PayPal,Next Day Air,3.7
132,28,Young Adult,Male,Maine,Yes,Skirt,Clothing,L,Indigo,Summer,29,Yes,46,Weekly,7,Credit Card,Standard,3.9
133,30,Young Adult,Male,New Mexico,Yes,Backpack,Accessories,M,Orange,Fall,58,Yes,42,Weekly,7,PayPal,2-Day Shipping,4.7
134,52,Middle-aged,Male,Montana,Yes,Sweater,Clothing,M,Violet,Winter,65,Yes,25,Annually,365,Venmo,Next Day Air,2.5
135,43,Adult,Male,Texas,Yes,Hat,Accessories,L,Gray,Fall,94,Yes,25,Monthly,30,Cash,Store Pickup,4.9
136,43,Adult,Male,Kansas,Yes,Sandals,Footwear,M,Purple,Fall,81,Yes,12,Quarterly,90,PayPal,Express,4.1
137,39,Adult,Male,South Carolina,Yes,Blouse,Clothing,M,White,Winter,86,Yes,4,Quarterly,90,Debit Card,Free Shipping,3.3
138,68,Senior,Male,Colorado,Yes,Sneakers,Footwear,M,Turquoise,Spring,43,Yes,38,Weekly,7,PayPal,Free Shipping,4.7
139,68,Senior,Male,Georgia,Yes,Skirt,Clothing,M,Maroon,Winter,29,Yes,42,Weekly,7,Bank Transfer,Store Pickup,4.4
140,49,Middle-aged,Male,Florida,Yes,Coat,Outerwear,M,White,Fall,95,Yes,30,Annually,365,Venmo,Store Pickup,3.8
141,63,Senior,Male,North Carolina,Yes,Shirt,Clothing,L,Yellow,Fall,28,Yes,50,Weekly,7,Credit Card,2-Day Shipping,3.9
142,56,Middle-aged,Male,Virginia,Yes,Gloves,Accessories,M,Turquoise,Fall,46,Yes,45,Weekly,7,PayPal,Free Shipping,4.9
143,37,Adult,Male,Nebraska,Yes,Jacket,Outerwear,L,Violet,Fall,58,Yes,33,Fortnightly,14,Credit Card,Free Shipping,3.1
144,30,Young Adult,Male,Missouri,Yes,Coat,Outerwear,M,Beige,Fall,48,Yes,25,Quarterly,90,PayPal,Store Pickup,2.7
145,19,Young Adult,Male,New Jersey,Yes,Shoes,Footwear,M,Silver,Fall,43,Yes,25,Monthly,30,Cash,Express,3.2
146,24,Young Adult,Male,Missouri,Yes,Jewelry,Accessories,M,Teal,Fall,95,Yes,44,Quarterly,90,Debit Card,Standard,4.5
147,52,Middle-aged,Male,Colorado,Yes,Skirt,Clothing,S,Black,Fall,30,Yes,21,Fortnightly,14,Venmo,Standard,4.0
148,63,Senior,Male,Idaho,Yes,Shoes,Footwear,M,Purple,Summer,64,Yes,31,Fortnightly,14,Bank Transfer,2-Day Shipping,3.5
149,37,Adult,Male,Wyoming,Yes,Gloves,Accessories,M,Gray,Fall,90,Yes,47,Annually,365,Debit Card,Store Pickup,2.6
150,38,Adult,Male,Delaware,Yes,Pants,Clothing,M,White,Summer,76,Yes,14,Monthly,30,PayPal,Free Shipping,3.2
151,35,Adult,Male,California,Yes,Boots,Footwear,L,Cyan,Fall,96,Yes,17,Every 3 Months,90,Debit Card,Standard,4.9
152,28,Young Adult,Male,North Dakota,Yes,Sunglasses,Accessories,L,Turquoise,Fall,47,Yes,3,Annually,365,Venmo,Next Day Air,4.5
153,30,Young Adult,Male,South Carolina,Yes,Shirt,Clothing,S,Brown,Summer,85,Yes,42,Annually,365,Venmo,Express,4.3
154,69,Senior,Male,North Carolina,Yes,Hoodie,Clothing,M,Maroon,Winter,55,Yes,22,Annually,365,Debit Card,Standard,3.2
155,41,Adult,Male,Oklahoma,Yes,Dress,Clothing,M,Charcoal,Fall,98,Yes,21,Quarterly,90,Venmo,Next Day Air,3.6
156,63,Senior,Male,Maine,Yes,Socks,Clothing,S,Olive,Spring,77,Yes,21,Quarterly,90,Bank Transfer,Free Shipping,4.3
157,35,Adult,Male,Missouri,Yes,Shorts,Clothing,M,Lavender,Fall,26,Yes,40,Annually,365,Debit Card,Standard,4.0
158,36,Adult,Male,Vermont,Yes,Hat,Accessories,S,Yellow,Fall,68,Yes,1,Fortnightly,14,Bank Transfer,Next Day Air,3.0
159,25,Young Adult,Male,Connecticut,Yes,Shirt,Clothing,XL,Teal,Fall,73,Yes,50,Monthly,30,Bank Transfer,Standard,4.1
160,58,Senior,Male,New Hampshire,Yes,Gloves,Accessories,M,Charcoal,Fall,27,Yes,39,Every 3 Months,90,Bank Transfer,Store Pickup,3.8
161,27,Young Adult,Male,Texas,Yes,Gloves,Accessories,M,Orange,Summer,23,Yes,34,Monthly,30,Venmo,Free Shipping,4.6
162,65,Senior,Male,North Dakota,Yes,Backpack,Accessories,M,Olive,Fall,49,Yes,29,Fortnightly,14,Venmo,Express,3.0
163,54,Middle-aged,Male,California,Yes,Sunglasses,Accessories,M,Turquoise,Summer,74,Yes,31,Bi-Weekly,14,PayPal,Store Pickup,3.0
164,54,Middle-aged,Male,Virginia,Yes,Skirt,Clothing,M,Purple,Summer,67,Yes,8,Weekly,7,Debit Card,Standard,3.4
165,59,Senior,Male,Delaware,Yes,Handbag,Accessories,S,Purple,Spring,65,Yes,5,Fortnightly,14,Credit Card,Free Shipping,2.6
166,42,Adult,Male,Kentucky,Yes,Handbag,Accessories,S,Yellow,Winter,60,Yes,7,Monthly,30,Cash,Store Pickup,2.8
167,46,Middle-aged,Male,Delaware,Yes,Sneakers,Footwear,XL,Indigo,Fall,31,Yes,30,Monthly,30,Cash,Store Pickup,4.0
168,33,Adult,Male,Arkansas,Yes,Gloves,Accessories,M,Green,Fall,27,Yes,14,Every 3 Months,90,Credit Card,Express,4.0
169,34,Adult,Male,Louisiana,Yes,Shoes,Footwear,M,Magenta,Summer,80,Yes,5,Fortnightly,14,Cash,Express,3.0
170,27,Young Adult,Male,Nevada,Yes,Jacket,Outerwear,S,Gold,Summer,30,Yes,3,Every 3 Months,90,PayPal,Standard,3.3
171,52,Middle-aged,Male,Wyoming,Yes,Shirt,Clothing,M,Maroon,Fall,25,Yes,46,Bi-Weekly,14,Venmo,Store Pickup,2.6
172,29,Young Adult,Male,Virginia,Yes,Shorts,Clothing,M,Blue,Summer,35,Yes,4,Weekly,7,Credit Card,Store Pickup,3.6
173,54,Middle-aged,Male,Nebraska,Yes,Jewelry,Accessories,M,Violet,Summer,67,Yes,42,Bi-Weekly,14,Credit Card,Next Day Air,3.9
174,25,Young Adult,Male,Hawaii,Yes,Hat,Accessories,M,Turquoise,Fall,46,Yes,30,Annually,365,Cash,Standard,3.4
175,41,Adult,Male,Vermont,Yes,Shoes,Footwear,L,Brown,Winter,35,Yes,37,Annually,365,Venmo,Express,3.5
176,53,Middle-aged,Male,Oklahoma,Yes,Coat,Outerwear,L,Violet,Fall,86,Yes,2,Annually,365,Bank Transfer,Next Day Air,2.8
177,53,Middle-aged,Male,New Hampshire,Yes,Backpack,Accessories,L,Black,Spring,81,Yes,30,Quarterly,90,Credit Card,Next Day Air,2.7
178,21,Young Adult,Male,Kansas,Yes,Hoodie,Clothing,L,Magenta,Fall,42,Yes,47,Monthly,30,Bank Transfer,Next Day Air,3.7
179,61,Senior,Male,Idaho,Yes,Skirt,Clothing,L,Lavender,Fall,43,Yes,21,Quarterly,90,PayPal,2-Day Shipping,4.3
180,64,Senior,Male,Illinois,Yes,Boots,Footwear,M,Violet,Fall,31,Yes,9,Fortnightly,14,Bank Transfer,Store Pickup,4.9
181,51,Middle-aged,Male,South Dakota,Yes,Sandals,Footwear,L,Green,Fall,81,Yes,12,Fortnightly,14,Debit Card,Store Pickup,3.3
182,32,Adult,Male,Massachusetts,Yes,Pants,Clothing,M,Beige,Summer,61,Yes,4,Weekly,7,Bank Transfer,Next Day Air,4.7
183,38,Adult,Male,Alabama,Yes,Gloves,Accessories,XL,Purple,Summer,96,Yes,10,Annually,365,Debit Card,Store Pickup,2.8
184,58,Senior,Male,Ohio,Yes,Skirt,Clothing,XL,Beige,Spring,29,Yes,26,Weekly,7,Credit Card,2-Day Shipping,3.6
185,32,Adult,Male,Hawaii,Yes,Sneakers,Footwear,L,Cyan,Spring,33,Yes,40,Fortnightly,14,Cash,Express,3.0
186,46,Middle-aged,Male,Wisconsin,Yes,T-shirt,Clothing,XL,Silver,Summer,32,Yes,34,Fortnightly,14,Bank Transfer,Store Pickup,4.5
187,39,Adult,Male,Minnesota,Yes,Backpack,Accessories,S,Lavender,Summer,56,Yes,31,Annually,365,Debit Card,Standard,2.9
